year,PlatingAndHeatTreatment,Acids,Alkalis,InorganicChemicals,ReactiveChemicals,PaintsResinsInksOrganisSludges,OrganicSolvents,Pesticides,Oils,OrganicWaste,OrganicChemicals,SoilSludge,Pharmaceutical,Misc,Other
2006,2,25444,10214,67536,136,17948,2314,458,133823,116272,4622,707201,13385,83926,83618
2007,5,29209,9533,70633,240,16540,1967,676,137872,119333,3662,610128,13632,84745,72913
2008,24,27766,9267,74722,191,17426,3272,1241,133172,134546,2294,403521,14216,86271,57502
2009,6,31801,9886,70160,170,26655,11036,793,140896,161940,2337,396771,13360,86845,7197
2010,46,31043,8955,59472,96,26389,11525,1154,148604,169373,1691,502900,13569,87598,535
2011,38,18355,8477,58812,80,25339,10628,1875,143136,164315,1715,494287,15148,89025,3956
2012,65,23215,9231,58425,80,30151,11172,2212,162266,197822,1218,507527,17858,91359,5705
2013,35,28444,8554,50766,111,23537,6467,1435,109272,155256,1341,449644,11072,92527,1457
2014,0,30183,6825,48449,16,15998,1547,429,101933,161941,6050,471423,12270,93340,1156
2015,19,31535,6893,61934,43,28323,4720,861,92139,168139,2755,502083,15044,96290,0
2016,3,48665,6148,78130,39,24043,3169,701,74208,151635,4669,640566,13425,94471,94069
2017,0,45384,8816,88926,38,19481,1932,550,69183,160832,5696,973389,11385,114716,0
2018,40,26093,7059,81717,63,40766,7226,1590,100414,141289,7022,884960,16872,117715,0
