year,wasteType,tonnes
2006,PlatingAndHeatTreatment,2
2007,PlatingAndHeatTreatment,5
2008,PlatingAndHeatTreatment,24
2009,PlatingAndHeatTreatment,6
2010,PlatingAndHeatTreatment,46
2011,PlatingAndHeatTreatment,38
2012,PlatingAndHeatTreatment,65
2013,PlatingAndHeatTreatment,35
2014,PlatingAndHeatTreatment,0
2015,PlatingAndHeatTreatment,19
2016,PlatingAndHeatTreatment,3
2017,PlatingAndHeatTreatment,0
2018,PlatingAndHeatTreatment,40
2006,Acids,25444
2007,Acids,29209
2008,Acids,27766
2009,Acids,31801
2010,Acids,31043
2011,Acids,18355
2012,Acids,23215
2013,Acids,28444
2014,Acids,30183
2015,Acids,31535
2016,Acids,48665
2017,Acids,45384
2018,Acids,26093
2006,Alkalis,10214
2007,Alkalis,9533
2008,Alkalis,9267
2009,Alkalis,9886
2010,Alkalis,8955
2011,Alkalis,8477
2012,Alkalis,9231
2013,Alkalis,8554
2014,Alkalis,6825
2015,Alkalis,6893
2016,Alkalis,6148
2017,Alkalis,8816
2018,Alkalis,7059
2006,InorganicChemicals,67536
2007,InorganicChemicals,70633
2008,InorganicChemicals,74722
2009,InorganicChemicals,70160
2010,InorganicChemicals,59472
2011,InorganicChemicals,58812
2012,InorganicChemicals,58425
2013,InorganicChemicals,50766
2014,InorganicChemicals,48449
2015,InorganicChemicals,61934
2016,InorganicChemicals,78130
2017,InorganicChemicals,88926
2018,InorganicChemicals,81717
2006,ReactiveChemicals,136
2007,ReactiveChemicals,240
2008,ReactiveChemicals,191
2009,ReactiveChemicals,170
2010,ReactiveChemicals,96
2011,ReactiveChemicals,80
2012,ReactiveChemicals,80
2013,ReactiveChemicals,111
2014,ReactiveChemicals,16
2015,ReactiveChemicals,43
2016,ReactiveChemicals,39
2017,ReactiveChemicals,38
2018,ReactiveChemicals,63
2006,PaintsResinsInksOrganisSludges,17948
2007,PaintsResinsInksOrganisSludges,16540
2008,PaintsResinsInksOrganisSludges,17426
2009,PaintsResinsInksOrganisSludges,26655
2010,PaintsResinsInksOrganisSludges,26389
2011,PaintsResinsInksOrganisSludges,25339
2012,PaintsResinsInksOrganisSludges,30151
2013,PaintsResinsInksOrganisSludges,23537
2014,PaintsResinsInksOrganisSludges,15998
2015,PaintsResinsInksOrganisSludges,28323
2016,PaintsResinsInksOrganisSludges,24043
2017,PaintsResinsInksOrganisSludges,19481
2018,PaintsResinsInksOrganisSludges,40766
2006,OrganicSolvents,2314
2007,OrganicSolvents,1967
2008,OrganicSolvents,3272
2009,OrganicSolvents,11036
2010,OrganicSolvents,11525
2011,OrganicSolvents,10628
2012,OrganicSolvents,11172
2013,OrganicSolvents,6467
2014,OrganicSolvents,1547
2015,OrganicSolvents,4720
2016,OrganicSolvents,3169
2017,OrganicSolvents,1932
2018,OrganicSolvents,7226
2006,Pesticides,458
2007,Pesticides,676
2008,Pesticides,1241
2009,Pesticides,793
2010,Pesticides,1154
2011,Pesticides,1875
2012,Pesticides,2212
2013,Pesticides,1435
2014,Pesticides,429
2015,Pesticides,861
2016,Pesticides,701
2017,Pesticides,550
2018,Pesticides,1590
2006,Oils,133823
2007,Oils,137872
2008,Oils,133172
2009,Oils,140896
2010,Oils,148604
2011,Oils,143136
2012,Oils,162266
2013,Oils,109272
2014,Oils,101933
2015,Oils,92139
2016,Oils,74208
2017,Oils,69183
2018,Oils,100414
2006,OrganicWaste,116272
2007,OrganicWaste,119333
2008,OrganicWaste,134546
2009,OrganicWaste,161940
2010,OrganicWaste,169373
2011,OrganicWaste,164315
2012,OrganicWaste,197822
2013,OrganicWaste,155256
2014,OrganicWaste,161941
2015,OrganicWaste,168139
2016,OrganicWaste,151635
2017,OrganicWaste,160832
2018,OrganicWaste,141289
2006,OrganicChemicals,4622
2007,OrganicChemicals,3662
2008,OrganicChemicals,2294
2009,OrganicChemicals,2337
2010,OrganicChemicals,1691
2011,OrganicChemicals,1715
2012,OrganicChemicals,1218
2013,OrganicChemicals,1341
2014,OrganicChemicals,6050
2015,OrganicChemicals,2755
2016,OrganicChemicals,4669
2017,OrganicChemicals,5696
2018,OrganicChemicals,7022
2006,SoilSludge,707201
2007,SoilSludge,610128
2008,SoilSludge,403521
2009,SoilSludge,396771
2010,SoilSludge,502900
2011,SoilSludge,494287
2012,SoilSludge,507527
2013,SoilSludge,449644
2014,SoilSludge,471423
2015,SoilSludge,502083
2016,SoilSludge,640566
2017,SoilSludge,973389
2018,SoilSludge,884960
2006,Pharmaceutical,13385
2007,Pharmaceutical,13632
2008,Pharmaceutical,14216
2009,Pharmaceutical,13360
2010,Pharmaceutical,13569
2011,Pharmaceutical,15148
2012,Pharmaceutical,17858
2013,Pharmaceutical,11072
2014,Pharmaceutical,12270
2015,Pharmaceutical,15044
2016,Pharmaceutical,13425
2017,Pharmaceutical,11385
2018,Pharmaceutical,16872
2006,Misc,83926
2007,Misc,84745
2008,Misc,86271
2009,Misc,86845
2010,Misc,87598
2011,Misc,89025
2012,Misc,91359
2013,Misc,92527
2014,Misc,93340
2015,Misc,96290
2016,Misc,94471
2017,Misc,114716
2018,Misc,117715
2006,Other,83618
2007,Other,72913
2008,Other,57502
2009,Other,7197
2010,Other,535
2011,Other,3956
2012,Other,5705
2013,Other,1457
2014,Other,1156
2015,Other,0
2016,Other,94069
2017,Other,0
2018,Other,0
